USN,p1r1,p1r2,p1r3,p1r4,p1r5,p1r6,p2r1,p2r2,p2r3,p2r4,p2r5,p2r6,p3r1,p3r2,p3r3,p3r4,p3r5,p3r6,p4r1,p4r2,p4r3,p4r4,p4r5,p4r6,p5r1,p5r2,p5r3,p5r4,p5r5,p5r6
1RV22CS218,4,4,5,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS219,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS220,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS221,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS222,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS223,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS224,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS225,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS226,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS227,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS228,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS229,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS230,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS231,3,3,7,3,,,3,4,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS232,4,4,6,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS233,4,4,5,4,,,4,5,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS234,3,3,7,3,,,3,4,5,4,,,,,,,,,,,,,,,,,,,,
1RV22CS235,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
1RV22CS236,4,4,7,4,,,4,5,6,4,,,,,,,,,,,,,,,,,,,,
